pol        seed |      rew      cap     step      mdl     wait     comp      nsv |   pku    pkr obs  obsr   pkv   pkvr    mwt   cmp    cmr   anp   anpr     mtt   pnc    pncr |   noop  overld  mcand  cne_fr cne_mn   dstep    macmr    msd
85          700 |     9.57     0.00     0.00    -2.10    -2.33    14.00     0.00 | 14/16   0.88  5   0.31  3/14   0.21  134.07 14/16   0.88  0/16   0.00  291.07  0/14   0.00 |   0.716  0.579   0.56  0.340   1.65     11    0.504     19
86          800 |     6.32     0.00     0.00    -2.03    -3.64    12.00     0.00 | 14/18   0.78  7   0.39  3/14   0.21  201.57 12/18   0.67  0/18   0.00  300.92  2/14   0.14 |   0.750  0.550   0.68  0.324   2.09     12    0.316     20
87          900 |     5.21     0.00     0.00    -3.67    -2.12    11.00     0.00 | 11/19   0.58 11   0.58  3/11   0.27  192.18 11/19   0.58  6/19   0.32  290.09  0/11   0.00 |   0.637  0.688   0.89  0.435   2.05     12    0.326     16
88         1000 |     4.87     0.00     0.00    -3.08    -3.05    11.00     0.00 | 13/19   0.68  9   0.47  4/13   0.31  206.77 11/19   0.58  0/19   0.00  186.91  2/13   0.15 |   0.700  0.600   0.74  0.400   1.86     12    0.243     20
89          100 |     4.41     0.00     0.00    -4.13    -2.46    11.00     0.00 | 11/19   0.58 12   0.63  4/11   0.36  261.64 11/19   0.58  6/19   0.32  235.45  0/11   0.00 |   0.678  0.611   0.89  0.400   2.24     12    0.245     18
90          200 |     5.64     0.00     0.00    -3.13    -2.22    11.00     0.00 | 11/19   0.58 10   0.53  2/11   0.18  153.27 11/19   0.58  2/19   0.11  280.09  0/11   0.00 |   0.674  0.579   0.65  0.380   1.71     11    0.297     19
91          300 |     8.20     0.00     0.00    -1.05    -3.75    13.00     0.00 | 13/17   0.76  4   0.24  1/13   0.08  115.31 13/17   0.76  0/17   0.00  283.69  0/13   0.00 |   0.729  0.529   0.56  0.333   1.67     11    0.482     17
92          400 |     6.05     0.00     0.00    -3.60    -2.35    12.00     0.00 | 14/18   0.78 10   0.56  6/14   0.43  253.43 12/18   0.67  2/18   0.11  280.00  2/14   0.14 |   0.760  0.450   0.62  0.324   1.91     10    0.302     20
93          500 |     6.69     0.00     0.00    -2.03    -3.27    12.00     0.00 | 12/18   0.67  7   0.39  1/12   0.08  152.17 12/18   0.67  0/18   0.00  271.33  0/12   0.00 |   0.758  0.526   0.61  0.330   1.85     11    0.352     19
94          600 |     7.86     0.00     0.00    -2.60    -2.54    13.00     0.00 | 13/17   0.76  7   0.41  3/13   0.23  149.38 13/17   0.76  4/17   0.24  328.85  0/13   0.00 |   0.756  0.611   0.58  0.337   1.72     12    0.436     18
95          700 |     6.62     0.00     0.00    -2.20    -3.18    12.00     0.00 | 12/18   0.67  7   0.39  2/12   0.17  143.67 12/18   0.67  0/18   0.00  257.67  0/12   0.00 |   0.711  0.556   0.65  0.368   1.77     12    0.368     18
96          800 |     4.82     0.00     0.00    -2.85    -3.33    11.00     0.00 | 11/19   0.58  9   0.47  2/11   0.18  146.64 11/19   0.58  0/19   0.00  300.73  0/11   0.00 |   0.686  0.643   0.71  0.400   1.77     11    0.345     14
97          900 |     6.89     0.00     0.00    -2.60    -2.52    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  143.08 12/18   0.67  4/18   0.22  336.75  0/12   0.00 |   0.737  0.526   0.54  0.300   1.80     11    0.362     19
98         1000 |     5.66     0.00     0.00    -3.60    -2.75    12.00     0.00 | 12/18   0.67 10   0.56  4/12   0.33  199.75 12/18   0.67  2/18   0.11  244.17  0/12   0.00 |   0.659  0.647   0.88  0.456   1.93     12    0.333     17
99          100 |     3.95     0.00     0.00    -3.42    -3.63    11.00     0.00 | 11/19   0.58 10   0.53  4/11   0.36  194.64 11/19   0.58  2/19   0.11  313.36  0/11   0.00 |   0.744  0.556   0.72  0.347   2.06     10    0.220     18
